date,time,pick,conf,value,away,home,away_runs,home_runs,away_wp,home_wp,away_ml,home_ml,away_sp,home_sp,model_mode,away_vector_run_delta,home_vector_run_delta,away_vector_xwoba,home_vector_xwoba,vector_edge,vector_xwoba_edge,vector_gate,result,game_pk,model_version
2026-04-17,6:40 PM ET,ATL,9,9,ATL,PHI,6.6,4.6,64.4,35.6,-108,-112,Martín Pérez,Taijuan Walker,,,,,,,,,,,
2026-04-17,6:45 PM ET,SF,7,7,SF,WSH,5.3,4.1,60.0,40.0,-156,+129,Logan Webb,Zack Littell,,,,,,,,,,,
2026-04-17,7:10 PM ET,MIA,7,7,MIL,MIA,4.2,5.5,36.4,63.6,-105,-115,Coleman Crow,Janson Junk,,,,,,,,,,,
2026-04-17,8:40 PM ET,LAD,7,7,LAD,COL,5.9,4.6,59.7,40.3,-308,+244,Tyler Glasnow,Tomoyuki Sugano,,,,,,,,,,,
2026-04-17,9:40 PM ET,TEX,8,8,TEX,SEA,6.3,4.6,62.5,37.5,+113,-136,Jacob deGrom,Logan Gilbert,,,,,,,,,,,
2026-04-18,2:20 PM ET,CHC,8,8,NYM,CHC,3.4,4.9,32.4,67.6,+209,-209,Freddy Peralta,Jameson Taillon,,,,,,,,,,,
2026-04-18,4:05 PM ET,SF,7,7,SF,WSH,5.5,4.2,60.6,39.4,-143,+119,Adrian Houser,Cade Cavalli,,,,,,,,,,,
2026-04-18,4:10 PM ET,DET,10,10,DET,BOS,7.8,4.3,73.3,26.7,+119,-143,Tarik Skubal,Brayan Bello,,,,,,,,,,,
2026-04-18,7:10 PM ET,HOU,8,8,STL,HOU,3.8,5.2,34.5,65.5,+119,-143,Andre Pallante,Lance McCullers Jr.,,,,,,,,,,,
2026-04-18,7:15 PM ET,PHI,8,8,ATL,PHI,4.2,6.0,32.7,67.3,+109,-131,Chris Sale,Cristopher Sánchez,,,,,,,,,,,
2026-04-18,8:10 PM ET,LAD,7,7,LAD,COL,6.7,5.6,56.6,43.4,-286,+229,Emmet Sheehan,Ryan Feltner,,,,,,,,,,,
2026-04-18,8:10 PM ET,AZ,7,7,TOR,AZ,4.4,5.7,36.9,63.1,+171,-171,Max Scherzer,Zac Gallen,,,,,,,,,,,
2026-04-19,1:35 PM ET,NYY,10,10,KC,NYY,3.1,5.7,23.2,76.8,+331,-331,Cole Ragans,Ryan Weathers,,,,,,,,,,,
2026-04-19,1:35 PM ET,WSH,8,8,SF,WSH,3.2,5.0,29.1,70.9,+244,-244,Robbie Ray,PJ Poulin,,,,,,,,,,,
2026-04-19,1:35 PM ET,TB,7,7,TB,PIT,4.6,3.3,63.2,36.8,-172,+172,Shane McClanahan,Mitch Keller,,,,,,,,,,,
2026-04-19,1:40 PM ET,BAL,7,7,BAL,CLE,4.3,3.1,63.0,37.0,-170,+170,Trevor Rogers,Joey Cantillo,,,,,,,,,,,
2026-04-19,2:10 PM ET,HOU,8,8,STL,HOU,3.2,4.9,29.9,70.1,+234,-234,Matthew Liberatore,Mike Burrows,,,,,,,,,,,
2026-04-19,3:10 PM ET,LAD,9,9,LAD,COL,6.3,4.3,65.3,34.7,-267,+214,Roki Sasaki,Michael Lorenzen,,,,,,,,,,,
2026-04-19,4:07 PM ET,SD,8,8,SD,LAA,5.9,4.4,61.6,38.4,-160,+160,Michael King,Walbert Urena,,,,,,,,,,,
2026-04-19,4:10 PM ET,AZ,8,8,TOR,AZ,3.9,5.6,32.5,67.5,+208,-208,Kevin Gausman,Ryne Nelson,,,,,,,,,,,
2026-04-19,4:35 PM ET,DET,10,10,DET,BOS,5.3,2.8,74.8,25.2,+113,-136,Framber Valdez,Garrett Crochet,,,,,,,,,,,
2026-04-20,11:10 AM ET,DET,7,7,DET,BOS,6.2,4.9,59.1,40.9,+113,-136,Jack Flaherty,Sonny Gray,,,,,,,,,,,
2026-04-20,6:40 PM ET,MIA,7,7,STL,MIA,3.5,4.8,34.4,65.6,-112,-108,Michael McGreevy,Max Meyer,,,,,,,,,,,
2026-04-20,6:45 PM ET,ATL,9,9,ATL,WSH,6.4,4.3,65.9,34.1,-149,+123,Bryce Elder,Jake Irvin,,,,,,,,,,,
2026-04-20,8:40 PM ET,LAD,10,10,LAD,COL,9.7,4.8,76.9,23.1,-267,+214,Justin Wrobleski,Jose Quintana,,,,,,,,,,,
2026-04-21,7:40 PM ET,CHC,8,8,PHI,CHC,4.1,5.6,34.6,65.4,+102,-122,Jesús Luzardo,Shota Imanaga,,,,,,,,,,,
2026-04-21,8:40 PM ET,COL,7,7,SD,COL,5.1,6.2,39.7,60.3,-143,+119,Randy Vásquez,Chase Dollander,,,,,,,,,,,
2026-04-21,9:45 PM ET,LAD,10,10,LAD,SF,9.0,5.6,68.9,31.1,-222,+222,Yoshinobu Yamamoto,Landen Roupp,,,,,,,,,,,
2026-04-27,6:40 PM ET,PIT,7,7,STL,PIT,4.7,5.9,38.2,61.8,+162,-162,Dustin May,Mason Montgomery,,,,,,,,,,,
2026-04-27,7:40 PM ET,LAA,8,8,LAA,CWS,7.4,5.9,58.7,41.3,-142,+142,Jack Kochanowicz,Anthony Kay,,,,,,,,,,,
2026-04-27,7:40 PM ET,SEA,9,9,SEA,MIN,6.9,4.7,65.4,34.6,-189,+189,Luis Castillo,Connor Prielipp,,,,,,,,,,,
2026-04-27,9:40 PM ET,CHC,10,10,CHC,SD,7.7,4.0,75.3,24.7,-112,-108,Matthew Boyd,Randy Vásquez,,,,,,,,,,,
2026-04-30,12:40 PM ET,BAL,10,10,HOU,BAL,9.5,12.5,36.2,63.8,+109,-132,Lance McCullers Jr.,Brandon Young,,,,,,,,,,,
